Country,Rank,Score,GDPperCapita,Family,Health,Freedom,Generosity,Trust,DystopiaResidual
Finland,1,7.809,10.639,0.954,71.901,0.949,-0.059,0.195,2.763
Denmark,2,7.646,10.774,0.956,72.403,0.951,0.066,0.168,2.433
Switzerland,3,7.560,10.980,0.943,74.102,0.921,0.106,0.304,2.350
Iceland,4,7.504,10.773,0.975,73.000,0.949,0.247,0.712,2.461
Norway,5,7.488,11.088,0.952,73.201,0.956,0.135,0.263,2.168
Netherlands,6,7.449,10.813,0.939,72.301,0.909,0.208,0.365,2.352
Sweden,7,7.353,10.759,0.926,72.601,0.939,0.112,0.251,2.246
New Zealand,8,7.300,10.501,0.949,73.203,0.936,0.192,0.221,2.128
Austria,9,7.294,10.743,0.928,73.003,0.900,0.085,0.500,2.398
Luxembourg,10,7.238,11.451,0.907,72.600,0.906,-0.005,0.367,2.154
Canada,11,7.232,10.692,0.927,73.602,0.934,0.125,0.391,2.195
Australia,12,7.223,10.721,0.945,73.605,0.915,0.190,0.415,2.130
United Kingdom,13,7.165,10.600,0.937,72.302,0.835,0.264,0.436,2.237
Israel,14,7.129,10.418,0.914,73.200,0.748,0.103,0.781,2.713
Costa Rica,15,7.121,9.658,0.902,71.300,0.935,-0.102,0.786,2.953
Ireland,16,7.094,11.161,0.942,72.301,0.887,0.146,0.357,1.944
Germany,17,7.076,10.733,0.899,72.202,0.867,0.080,0.456,2.295
United States,18,6.940,10.926,0.914,68.299,0.843,0.150,0.700,2.344
Czech Republic,19,6.911,10.404,0.914,70.048,0.819,-0.231,0.858,2.797
Belgium,20,6.864,10.674,0.912,72.002,0.814,-0.079,0.612,2.349
United Arab Emirates,21,6.791,11.110,0.849,67.083,0.941,0.123,0.595,2.167
Malta,22,6.773,10.534,0.930,72.200,0.925,0.215,0.659,1.952
France,23,6.664,10.584,0.937,73.802,0.825,-0.131,0.584,2.053
Mexico,24,6.465,9.798,0.839,68.299,0.859,-0.175,0.807,2.663
Taiwan Province of China,25,6.455,10.776,0.894,69.600,0.772,-0.073,0.732,2.160
Uruguay,26,6.440,9.948,0.923,69.003,0.892,-0.101,0.636,2.167
Saudi Arabia,27,6.406,10.798,0.874,66.305,0.854,-0.169,0.683,2.203
Spain,28,6.401,10.463,0.921,74.403,0.752,-0.051,0.766,1.997
Guatemala,29,6.399,8.925,0.817,64.809,0.908,-0.043,0.783,2.883
Italy,30,6.387,10.482,0.890,73.602,0.665,-0.043,0.873,2.250
Singapore,31,6.377,11.396,0.910,76.805,0.927,0.030,0.110,0.937
Brazil,32,6.376,9.566,0.897,66.480,0.800,-0.102,0.771,2.572
Slovenia,33,6.363,10.392,0.940,71.103,0.936,-0.081,0.817,1.889
El Salvador,34,6.348,8.909,0.806,66.108,0.834,-0.121,0.754,2.937
