Country,Rank,Score,GDPperCapita,Family,Health,Freedom,Trust,Generosity
Finland,1,7.842,10.775,0.954,72,0.949,0.186,-0.098
Denmark,2,7.62,10.933,0.954,72.7,0.946,0.179,0.03
Switzerland,3,7.571,11.117,0.942,74.4,0.919,0.292,0.025
Iceland,4,7.554,10.878,0.983,73,0.955,0.673,0.16
Netherlands,5,7.464,10.932,0.942,72.4,0.913,0.338,0.175
Norway,6,7.392,11.053,0.954,73.3,0.96,0.27,0.093
Sweden,7,7.363,10.867,0.934,72.7,0.945,0.237,0.086
Luxembourg,8,7.324,11.647,0.908,72.6,0.907,0.386,-0.034
New Zealand,9,7.277,10.643,0.948,73.4,0.929,0.242,0.134
Austria,10,7.268,10.906,0.934,73.3,0.908,0.481,0.042
Australia,11,7.183,10.796,0.94,73.9,0.914,0.442,0.159
Israel,12,7.157,10.575,0.939,73.503,0.8,0.753,0.031
Germany,13,7.155,10.873,0.903,72.5,0.875,0.46,0.011
Canada,14,7.103,10.776,0.926,73.8,0.915,0.415,0.089
Ireland,15,7.085,11.342,0.947,72.4,0.879,0.363,0.077
Costa Rica,16,7.069,9.88,0.891,71.4,0.934,0.809,-0.126
United Kingdom,17,7.064,10.707,0.934,72.5,0.859,0.459,0.233
Czech Republic,18,6.965,10.556,0.947,70.807,0.858,0.868,-0.208
United States,19,6.951,11.023,0.92,68.2,0.837,0.698,0.098
Belgium,20,6.834,10.823,0.906,72.199,0.783,0.646,-0.153
France,21,6.69,10.704,0.942,74,0.822,0.571,-0.147
Bahrain,22,6.647,10.669,0.862,69.495,0.925,0.722,0.089
Malta,23,6.602,10.674,0.931,72.2,0.927,0.653,0.133
Taiwan Province of China,24,6.584,10.871,0.898,69.6,0.784,0.721,-0.07
United Arab Emirates,25,6.561,11.085,0.844,67.333,0.932,0.589,0.074
Saudi Arabia,26,6.494,10.743,0.891,66.603,0.877,0.684,-0.149
Spain,27,6.491,10.571,0.932,74.7,0.761,0.745,-0.081
Italy,28,6.483,10.623,0.88,73.8,0.693,0.866,-0.084
Slovenia,29,6.461,10.529,0.948,71.4,0.949,0.806,-0.101
Guatemala,30,6.435,9.053,0.813,64.958,0.906,0.775,-0.038
Uruguay,31,6.431,9.966,0.925,69.1,0.896,0.59,-0.092
Singapore,32,6.377,11.488,0.915,76.953,0.927,0.082,-0.018
Kosovo,33,6.372,9.318,0.821,63.813,0.869,0.917,0.257
Slovakia,34,6.331,10.369,0.936,69.201,0.766,0.911,-0.124
Brazil,35,6.33,9.577,0.882,66.601,0.804,0.756,-0.071
Mexico,36,6.317,9.859,0.831,68.597,0.862,0.799,-0.147
Jamaica,37,6.309,9.186,0.877,67.5,0.89,0.884,-0.137
Lithuania,38,6.255,10.499,0.935,67.906,0.773,0.826,-0.203
Cyprus,39,6.223,10.576,0.802,73.898,0.763,0.844,-0.015
Estonia,40,6.189,10.481,0.941,68.8,0.909,0.527,-0.106
Panama,41,6.18,10.35,0.896,69.652,0.872,0.856,-0.166
Uzbekistan,42,6.179,8.836,0.918,65.255,0.97,0.515,0.311
Chile,43,6.172,10.071,0.882,70,0.742,0.83,-0.044
Poland,44,6.166,10.382,0.898,69.702,0.841,0.735,-0.165
Kazakhstan,45,6.152,10.155,0.952,65.2,0.853,0.733,-0.069
Romania,46,6.14,10.284,0.832,67.355,0.845,0.938,-0.219
Kuwait,47,6.106,10.817,0.843,66.9,0.867,0.736,-0.104
Serbia,48,6.078,9.787,0.873,68.6,0.778,0.835,0.002
El Salvador,49,6.061,9.054,0.762,66.402,0.888,0.688,-0.11
Mauritius,50,6.049,10.008,0.905,66.701,0.867,0.789,-0.054
Latvia,51,6.032,10.315,0.927,67.1,0.715,0.8,-0.162
Colombia,52,6.012,9.557,0.847,68.001,0.837,0.841,-0.135
Hungary,53,5.992,10.358,0.943,68,0.755,0.876,-0.186
Thailand,54,5.985,9.805,0.888,67.401,0.884,0.895,0.287
Nicaragua,55,5.972,8.62,0.864,67.657,0.836,0.664,0.02
Japan,56,5.94,10.611,0.884,75.1,0.796,0.638,-0.258
Argentina,57,5.929,9.962,0.898,69,0.828,0.834,-0.182
Portugal,58,5.929,10.421,0.879,72.6,0.892,0.887,-0.244
Honduras,59,5.919,8.648,0.812,67.3,0.857,0.809,0.081
Croatia,60,5.882,10.217,0.924,70.799,0.754,0.939,-0.118
Philippines,61,5.88,9.076,0.83,62,0.917,0.742,-0.097
South Korea,62,5.845,10.651,0.799,73.9,0.672,0.727,-0.083
Peru,63,5.84,9.458,0.832,68.25,0.822,0.891,-0.154
Bosnia and Herzegovina,64,5.813,9.59,0.87,68.098,0.706,0.931,0.113
Moldova,65,5.766,9.454,0.857,65.699,0.822,0.918,-0.079
Ecuador,66,5.764,9.313,0.821,68.8,0.842,0.843,-0.124
Kyrgyzstan,67,5.744,8.538,0.893,64.401,0.935,0.908,0.119
Greece,68,5.723,10.279,0.823,72.6,0.582,0.823,-0.288
Bolivia,69,5.716,9.046,0.81,63.901,0.875,0.839,-0.077
Mongolia,70,5.677,9.4,0.935,62.5,0.708,0.856,0.116
Paraguay,71,5.653,9.448,0.893,65.9,0.876,0.882,0.028
Montenegro,72,5.581,9.94,0.858,68.699,0.708,0.812,-0.034
Dominican Republic,73,5.545,9.802,0.853,66.102,0.86,0.714,-0.133
North Cyprus,74,5.536,10.576,0.82,73.898,0.795,0.626,0.012
Belarus,75,5.534,9.853,0.91,66.253,0.65,0.627,-0.18
Russia,76,5.477,10.189,0.903,64.703,0.718,0.845,-0.111
Hong Kong S.A.R. of China,77,5.477,11,0.836,76.82,0.717,0.403,0.067
Tajikistan,78,5.466,8.091,0.86,64.281,0.832,0.553,-0.056
Vietnam,79,5.411,8.973,0.85,68.034,0.94,0.796,-0.098
Libya,80,5.41,9.622,0.827,62.3,0.771,0.667,-0.087
Malaysia,81,5.384,10.238,0.817,67.102,0.895,0.839,0.125
Indonesia,82,5.345,9.365,0.811,62.236,0.873,0.867,0.542
Congo (Brazzaville),83,5.342,8.117,0.636,58.221,0.695,0.745,-0.068
China,84,5.339,9.673,0.811,69.593,0.904,0.755,-0.146
Ivory Coast,85,5.306,8.551,0.644,50.114,0.741,0.794,-0.016
Armenia,86,5.283,9.487,0.799,67.055,0.825,0.629,-0.168
Nepal,87,5.269,8.12,0.774,64.233,0.782,0.727,0.152
Bulgaria,88,5.266,10.016,0.931,67,0.788,0.932,-0.096
Maldives,89,5.198,9.826,0.913,70.6,0.854,0.825,0.024
Azerbaijan,90,5.171,9.569,0.836,65.656,0.814,0.506,-0.223
Cameroon,91,5.142,8.189,0.71,53.515,0.731,0.848,0.026
Senegal,92,5.132,8.118,0.71,59.802,0.695,0.801,-0.046
Albania,93,5.117,9.52,0.697,68.999,0.785,0.901,-0.03
North Macedonia,94,5.101,9.693,0.805,65.474,0.751,0.905,0.038
Ghana,95,5.088,8.58,0.727,57.586,0.807,0.848,0.123
Niger,96,5.074,7.098,0.641,53.78,0.806,0.693,0.018
Turkmenistan,97,5.066,9.629,0.983,62.409,0.877,0.888,0.273
Gambia,98,5.051,7.686,0.69,55.16,0.697,0.746,0.424
Benin,99,5.045,8.087,0.489,54.713,0.757,0.661,-0.034
Laos,100,5.03,8.947,0.728,58.968,0.91,0.658,0.123
Bangladesh,101,5.025,8.454,0.693,64.8,0.877,0.682,-0.041
Guinea,102,4.984,7.838,0.639,55.008,0.697,0.766,0.095
South Africa,103,4.956,9.403,0.86,56.904,0.749,0.86,-0.067
Turkey,104,4.948,10.24,0.822,67.199,0.576,0.776,-0.139
Pakistan,105,4.934,8.458,0.651,58.709,0.726,0.787,0.098
Morocco,106,4.918,8.903,0.56,66.208,0.774,0.801,-0.236
Venezuela,107,4.892,9.073,0.861,66.7,0.615,0.827,-0.169
Georgia,108,4.891,9.585,0.671,64.3,0.783,0.655,-0.238
Algeria,109,4.887,9.342,0.802,66.005,0.48,0.752,-0.067
Ukraine,110,4.875,9.436,0.888,64.902,0.724,0.924,-0.011
Iraq,111,4.854,9.24,0.746,60.583,0.63,0.875,-0.053
Gabon,112,4.852,9.603,0.776,59.962,0.731,0.84,-0.2
Burkina Faso,113,4.834,7.678,0.672,54.151,0.695,0.748,-0.009
Cambodia,114,4.83,8.36,0.765,62,0.959,0.843,0.034
Mozambique,115,4.794,7.158,0.744,54.706,0.882,0.684,0.061
Nigeria,116,4.759,8.533,0.74,50.102,0.737,0.878,0.037
Mali,117,4.723,7.744,0.724,51.969,0.697,0.827,-0.036
Iran,118,4.721,9.584,0.71,66.3,0.608,0.714,0.218
Uganda,119,4.636,7.677,0.781,56.101,0.709,0.855,0.122
Liberia,120,4.625,7.288,0.72,56.498,0.735,0.85,0.05
Kenya,121,4.607,8.361,0.688,60.704,0.779,0.825,0.287
Tunisia,122,4.596,9.266,0.691,67.201,0.656,0.87,-0.201
Lebanon,123,4.584,9.626,0.848,67.355,0.525,0.898,-0.073
Namibia,124,4.574,9.161,0.818,56.799,0.719,0.847,-0.149
Palestinian Territories,125,4.517,8.485,0.826,62.25,0.653,0.821,-0.163
Myanmar,126,4.426,8.541,0.779,59.302,0.876,0.66,0.509
Jordan,127,4.395,9.182,0.767,67,0.755,0.705,-0.167
Chad,128,4.355,7.364,0.619,48.478,0.579,0.807,0.041
Sri Lanka,129,4.325,9.47,0.827,67.299,0.841,0.863,0.079
Swaziland,130,4.308,9.065,0.77,50.833,0.647,0.708,-0.185
Comoros,131,4.289,8.031,0.626,57.349,0.548,0.781,0.082
Egypt,132,4.283,9.367,0.75,61.998,0.749,0.795,-0.182
Ethiopia,133,4.275,7.694,0.764,59,0.752,0.761,0.082
Mauritania,134,4.227,8.542,0.795,57.161,0.561,0.731,-0.106
Madagascar,135,4.208,7.396,0.686,59.305,0.552,0.803,-0.005
Togo,136,4.107,7.362,0.569,54.914,0.619,0.772,0.032
Zambia,137,4.073,8.145,0.708,55.809,0.782,0.823,0.061
Sierra Leone,138,3.849,7.434,0.63,51.651,0.717,0.866,0.084
India,139,3.819,8.755,0.603,60.633,0.893,0.774,0.089
Burundi,140,3.775,6.635,0.49,53.4,0.626,0.607,-0.024
Yemen,141,3.658,7.578,0.832,57.122,0.602,0.8,-0.147
Tanzania,142,3.623,7.876,0.702,57.999,0.833,0.577,0.183
Haiti,143,3.615,7.477,0.54,55.7,0.593,0.721,0.422
Malawi,144,3.6,6.958,0.537,57.948,0.78,0.729,0.038
Lesotho,145,3.512,7.926,0.787,48.7,0.715,0.915,-0.131
Botswana,146,3.467,9.782,0.784,59.269,0.824,0.801,-0.246
Rwanda,147,3.415,7.676,0.552,61.4,0.897,0.167,0.061
Zimbabwe,148,3.145,7.943,0.75,56.201,0.677,0.821,-0.047
Afghanistan,149,2.523,7.695,0.463,52.493,0.382,0.924,-0.102
